Date,Open,High,Low,Close,Adj Close,Volume
01-06-2004,82.462502,84.75,79.387497,80.112503,56.207249,29320
02-06-2004,82.125,82.125,79.775002,80,56.128304,4560
03-06-2004,82,83.349998,78.300003,78.675003,55.198708,13808
04-06-2004,81.237503,81.25,77.25,78.462502,55.049606,23944
07-06-2004,80,80,78.25,79.224998,55.584579,9608
08-06-2004,78.400002,79.224998,76.612503,77.474998,54.356758,10272
09-06-2004,77.5,81.224998,77.375,79.925003,56.075687,31424
10-06-2004,81.25,91.25,80,87.237503,61.206177,54480
11-06-2004,91.262497,102,91.262497,93.612503,65.678886,1495680
14-06-2004,93.387497,93.75,85.75,86.349998,60.583473,295448
15-06-2004,88,89.25,85.712502,86.8125,60.90799,172688
16-06-2004,87.5,87.849998,85.5,85.912498,60.276535,62312
17-06-2004,85.625,86.925003,85.625,86.162498,60.451935,30208
18-06-2004,86.362503,93.25,86.362503,88.974998,62.425228,91440
21-06-2004,90,92,86.800003,88.025002,61.758663,49328
22-06-2004,88,88.25,85.5,85.974998,60.320419,20064
23-06-2004,86.875,87.5,82.824997,84.300003,59.145203,22912
24-06-2004,84.987503,86.5,83.275002,85.699997,60.127445,21592
25-06-2004,85,87.5,85,85.699997,60.127445,60280
28-06-2004,87.199997,91.25,87.199997,89.849998,63.039108,100536
29-06-2004,91.25,91.474998,88.125,89.237503,62.609383,47952
30-06-2004,89,90.25,87,87.25,61.214954,20576
01-07-2004,88.487503,88.962502,87.525002,88.349998,61.986698,15168
02-07-2004,89.5,93,89.5,91.4375,64.152885,123232
05-07-2004,91,91.625,87.75,88.375,62.00425,22040
06-07-2004,88.137497,90,88.137497,89.212502,62.591866,39312
07-07-2004,90,90.75,87.5,88.112503,61.820057,39640
08-07-2004,87.5,90.037498,83.737503,84.4375,59.241688,80424
09-07-2004,78.775002,86.25,78.0625,85.625,60.074844,29280
12-07-2004,86.25,88.212502,85,87.300003,61.250004,22272
13-07-2004,88.762497,90.25,88,88.337502,61.977928,48160
14-07-2004,89.987503,92.5,88.875,90.612503,63.574078,74376
15-07-2004,91.75,91.949997,90.5625,90.900002,63.775791,36024
16-07-2004,93.724998,95.5,92.525002,93.974998,65.933205,167704
19-07-2004,95.25,97.199997,93.75,95.412498,66.941765,174480
20-07-2004,96,98.25,94.775002,97.1875,68.187141,157816
